Sample Date,Enterococci Results,Year Population,Day Before Precipitation,Day of Precipitation,Water Temperature,Sum Precip,Month,Year
6/1/2005,4,7939571,0,0,15.23,0,6,2005
6/1/2005,4,7939571,0,0,15.23,0,6,2005
6/1/2005,4,7939571,0,0,15.23,0,6,2005
6/1/2005,4,7939571,0,0,15.23,0,6,2005
6/8/2005,4,7939571,0,0,17.89,0,6,2005
6/8/2005,4,7939571,0,0,17.89,0,6,2005
6/8/2005,4,7939571,0,0,17.89,0,6,2005
6/8/2005,4,7939571,0,0,17.89,0,6,2005
6/8/2005,4,7939571,0,0,17.89,0,6,2005
6/8/2005,4,7939571,0,0,17.89,0,6,2005
6/14/2005,4,7939571,0,0,19.17,0,6,2005
6/14/2005,4,7939571,0,0,19.17,0,6,2005
6/20/2005,4,7939571,0,0,18.56,0,6,2005
6/20/2005,4,7939571,0,0,18.56,0,6,2005
6/20/2005,4,7939571,0,0,18.56,0,6,2005
7/5/2005,4,7939571,0,0.04,21.23,0.04,7,2005
7/5/2005,4,7939571,0,0.04,21.23,0.04,7,2005
7/5/2005,4,7939571,0,0.04,21.23,0.04,7,2005
7/5/2005,4,7939571,0,0.04,21.23,0.04,7,2005
7/11/2005,4,7939571,0,0,22.21,0,7,2005
7/11/2005,4,7939571,0,0,22.21,0,7,2005
7/11/2005,4,7939571,0,0,22.21,0,7,2005
7/19/2005,4,7939571,0,0,23.89,0,7,2005
7/21/2005,4,7939571,0,0,24.4,0,7,2005
7/26/2005,4,7939571,0.02,0,24.64,0.02,7,2005
7/26/2005,4,7939571,0.02,0,24.64,0.02,7,2005
7/26/2005,4,7939571,0.02,0,24.64,0.02,7,2005
7/26/2005,4,7939571,0.02,0,24.64,0.02,7,2005
8/2/2005,4,7939571,0,0,23.83,0,8,2005
8/2/2005,4,7939571,0,0,23.83,0,8,2005
8/2/2005,4,7939571,0,0,23.83,0,8,2005
8/9/2005,4,7939571,0,0,23.97,0,8,2005
8/9/2005,4,7939571,0,0,23.97,0,8,2005
8/9/2005,4,7939571,0,0,23.97,0,8,2005
8/23/2005,4,7939571,0,0,24.65,0,8,2005
