Sample Date,Enterococci Results,Year Population,Day Before Precipitation,Day of Precipitation,Water Temperature,Sum Precip,Month,Year
6/1/2005,9.846153846,7939571,0,0,15.23,0,6,2005
6/8/2005,24.92307692,7939571,0,0,17.89,0,6,2005
6/14/2005,4,7939571,0,0,19.17,0,6,2005
6/20/2005,33.2,7939571,0,0,18.56,0,6,2005
7/5/2005,4.8,7939571,0,0.04,21.23,0.04,7,2005
7/11/2005,11.27272727,7939571,0,0,22.21,0,7,2005
7/19/2005,69.6,7939571,0,0,23.89,0,7,2005
7/21/2005,55,7939571,0,0,24.4,0,7,2005
7/26/2005,15.11111111,7939571,0.02,0,24.64,0.02,7,2005
8/2/2005,6.857142857,7939571,0,0,23.83,0,8,2005
8/9/2005,5.6,7939571,0,0,23.97,0,8,2005
8/23/2005,16,7939571,0,0,24.65,0,8,2005
8/29/2005,58.18181818,7939571,0.02,0,24.52,0.02,8,2005
9/7/2005,14.8,7939571,0,0,23.39,0,9,2005
5/2/2006,5.777777778,7904335,0,0,12.32,0,5,2006
5/9/2006,10.18181818,7904335,0,0,13.6,0,5,2006
5/23/2006,5,7904335,0,0,14.22,0,5,2006
5/30/2006,52,7904335,0.2,0,15.92,0.2,5,2006
6/12/2006,7.733333333,7904335,0,0,17.29,0,6,2006
6/19/2006,5,7904335,0,0,18.52,0,6,2006
6/27/2006,8,7904335,0.06,0.05,19.44,0.11,6,2006
7/5/2006,16.61538462,7904335,0,1.06,19.92,1.06,7,2006
7/10/2006,4,7904335,0,0,18.76,0,7,2006
7/18/2006,23.71428571,7904335,0,0.44,22.11,0.44,7,2006
7/20/2006,15.71428571,7904335,0,0,22.46,0,7,2006
7/24/2006,24.66666667,7904335,0,0,23.35,0,7,2006
8/1/2006,12.66666667,7904335,0,0,23.71,0,8,2006
8/2/2006,92.36363636,7904335,0,0,23.74,0,8,2006
8/3/2006,11.42857143,7904335,0,0,23.81,0,8,2006
8/7/2006,22.33333333,7904335,0,0,22.1,0,8,2006
8/14/2006,4,7904335,0,0,23.13,0,8,2006
8/22/2006,6.5,7904335,0,0,23.42,0,8,2006
4/24/2007,4,7908735,0,0,8.39,0,4,2007
5/8/2007,4.8,7908735,0,0,11.63,0,5,2007
5/15/2007,4,7908735,0,0,14.16,0,5,2007
5/22/2007,15.2,7908735,0,0,15.13,0,5,2007
5/30/2007,8,7908735,0,0,16.88,0,5,2007
6/6/2007,20.53333333,7908735,0,0,18.25,0,6,2007
6/11/2007,36.8,7908735,0,0.05,19.07,0.05,6,2007
6/19/2007,6.857142857,7908735,0,0.06,20.72,0.06,6,2007
6/25/2007,7,7908735,0,0,19.88,0,6,2007
7/2/2007,9.454545455,7908735,0,0,19.67,0,7,2007
7/10/2007,54.46153846,7908735,0,0,20.81,0,7,2007
7/16/2007,10.18181818,7908735,0,0,21.8,0,7,2007
7/31/2007,19.2,7908735,0,0,23.75,0,7,2007
8/7/2007,11,7908735,0,0,24.76,0,8,2007
8/13/2007,13.2,7908735,0,0,24.88,0,8,2007
8/20/2007,14.8,7908735,0.08,0.05,23.47,0.13,8,2007
8/27/2007,22.33333333,7908735,0,0,23.02,0,8,2007
9/5/2007,6.5,7908735,0,0,23.43,0,9,2007
5/6/2008,4,7945783,0,0,13.68,0,5,2008
5/14/2008,10.22222222,7945783,0,0,14.23,0,5,2008
5/20/2008,6.4,7945783,0,0.46,14.42,0.46,5,2008
5/29/2008,6,7945783,0,0,15.35,0,5,2008
6/3/2008,7,7945783,0,0,16.13,0,6,2008
6/10/2008,11.55555556,7945783,0,0.19,18.91,0.19,6,2008
6/17/2008,13.86666667,7945783,0.03,0,20.14,0.03,6,2008
6/24/2008,6.4,7945783,0.06,0,21.07,0.06,6,2008
7/1/2008,14.66666667,7945783,0.01,0,21.49,0.01,7,2008
7/8/2008,5,7945783,0,0,22.54,0,7,2008
7/17/2008,10.76923077,7945783,0,0,23.5,0,7,2008
7/22/2008,20.44444444,7945783,0.01,0.01,24.24,0.02,7,2008
7/29/2008,5,7945783,0,0,25.23,0,7,2008
8/5/2008,10.5,7945783,0,0.02,25.3,0.02,8,2008
8/13/2008,12.61538462,7945783,0.01,0,24.75,0.01,8,2008
8/19/2008,7.714285714,7945783,0,0,24.6,0,8,2008
8/26/2008,6.909090909,7945783,0,0,24.45,0,8,2008
9/3/2008,5.777777778,7945783,0,0,24.92,0,9,2008
9/11/2008,17.45454545,7945783,0,0,24.48,0,9,2008
5/12/2009,4.666666667,7991063,0,0,15.49,0,5,2009
6/2/2009,19.2,7991063,0,0.01,18.8,0.01,6,2009
6/17/2009,28.8,7991063,0,0,20.81,0,6,2009
